產品編號,產品名
P000000010,"牛肉米粉 70克"
P000000039,"紫菜湯麵 90克 x 5"
P000000057,"香甜玉米片 (粟米片) Frosties 175克"
P000000070,"燒米餅 72克"
P000000073,"魚仔餅 - 海苔口味 33克"
P000000087,"蝦肉燒賣 10件裝 120克"
P000000106,"啤酒 Pale Pilsen - 罐裝 330毫升 x 12"
P000000110,"曬駱駝 Xylitol 無糖香口珠 - 士多啤梨 20粒裝 28克"
P000000114,"上湯伊麵 90克 x 5"
P000000115,"Club 朱古力夾心橙餅 7件裝 154克"
P000000123,"高纖木瓜低脂牛奶飲品 236毫升"
P000000135,"蛋糕 - 原味 All Butter All Purpose Pound Cake 300克"
P000000142,"啤酒 - 罐裝 330毫升 x 12"
P000000157,"茉莉香米王 8公斤"
P000000160,"忌廉雞粒蘑菇湯 410克"
P000000161,"ABC 雜菜湯 300克"
P000000171,"檸檬青檸味汽水 - 樽裝 500毫升"
P000000174,"礦物質水 770毫升"
P000000178,"消化餅 400克"
P000000186,"炒麵王 - 特式香辣醬味 120克"
P000000187,"黑加侖子軟糖 30粒裝 60克"
P000000195,"紫菜蝦餅 36克"
P000000203,"去頭屑洗髮露 - 均衡水潤 - 中性髮質適用 620毫升"
P000000213,"高鈣起司 (芝士) - 較低脂 12片裝 250克"
P000000228,"紅豆霸 (紅豆冰凍甜點) 4支裝 (80毫升 x 4支) 320毫升"
P000000233,"糖水波蘿片 567克"
P000000235,"九江醇舊雙蒸酒 500毫升"
P000000236,"啫喱粉 - 芒果味 80克"
P000000247,"迷你紙巾 - 原味 18包裝"
P000000254,"金牌鮮茄汁焗豆 420克"
P000000256,"洗衣粉 - 清新花果 (環保補充裝) 2.25公斤"
P000000270,"啤酒 Pale Pilsen - 罐裝 - 500毫升 x 4"
P000000300,"公仔麵 - 雞蓉味 92克 x 5"
P000000301,"點心麵 (杯麵) - 肉絲味 34克"
P000000309,"大碗麵 - 特辣 (拉麵) 114克"
P000000310,"石鍋拉麵 120克 x 5"
P000000311,"杯麵 - 辣白菜拉麵 70克"
P000000318,"七喜 - 樽裝 1.25公升"
P000000334,"天然礦泉水 1.5公升"
P000000352,"冰極檸檬茶 480毫升"
P000000354,"檸檬青檸味汽水 - 樽裝 1.25公升"
P000000357,"雪梨茶 500毫升"
P000000369,"Mini Snack 榛子巴夫 (榛子果仁醬卷酥皮點心) 125克"
P000000384,"橄欖果渣油 1公升 x 2"
P000000388,"胡椒湯麵 80克 x 5"
P000000390,"公仔麵 - 麻油味 90克 x 5"
P000000395,"銀絲米粉 4片家庭裝 (內附調味包) 280克"
P000000413,"零系可樂 Zero - 罐裝 330毫升 x 8"
P000000432,"Ebi 迷你蝦餅 (條裝) 33克"
P000000451,"果醋 (青蘋果味) 350毫升"
P000000457,"純牛奶 1公升 x 3"
P000000458,"高鈣低脂牛奶飲品 250毫升 x 6"
P000000496,"橙汁汽水 - 樽裝 2公升"
P000000511,"潮州粉果 8件裝 224克"
P000000548,"鈣思寶 - 高鈣大豆燕麥健康飲品 - 燕麥味 250毫升 x 6"
P000000600,"(米王之皇) 純正泰國頂級金鳳香米 5公斤"
P000000634,"珍珠米 5公斤"
P000000638,"三合一速溶咖啡飲品 - 原味咖啡 14克 x 20"
P000000646,"Belcube 芝士粒 - Plain (藍盒) 24件裝 125克"
P000000651,"梳打餅 - 芝麻 210克"
P000000655,"無糖香口珠 - 超涼薄荷味 20粒袋裝 28克"
P000000659,"雞汁伊麵 65克"
P000000661,"爽滑奶油味麵 340克"
P000000672,"油浸沙甸 125克"
P000000694,"原味奶茶3合1 - 17克 x 10"
P000000697,"鐵觀音茶包 x 100"
P000000701,"Shiraz Cabernet 羅列施赫卡貝納 (切拉子赤霞珠) 紅酒 750毫升"
P000000713,"葡汁 (椰味咖喱汁) 235克"
P000000729,"高鈣起司 (芝士) - 原味 12片裝 250克"
P000000735,"鋒隱 Fusion 5+1 刮鬚刀 - 套裝 (1刀把 + 2刀頭)"
P000000741,"超濃縮洗衣液 - 抗菌配方 3公升"
P000000743,"衣物柔順劑經濟裝 - 清新氣息 2公升"
P000000747,"午餐肉 198克"
P000000748,"午餐肉 170克 x 3"
P000000749,"糖水波蘿片 836克"
P000000762,"漂白水 - 天然原味 2.8公升"
P000000774,"礦物質水 1.5公升"
P000000775,"純蒸餾水 1.5公升"
P000000779,"天然氣泡礦泉水 750毫升"
P000000792,"粒粒裝榛子威化餅 Quadratini Napolitaner 250克"
P000000793,"忌廉威化 - 朱古力味 200克"
P000000807,"原味玉米片 (粟米片) Classic Corn Flakes 170克"
P000000812,"可可脆片 Koko Krunch 170克"
P000000823,"可樂 - 樽裝 1.25公升"
P000000831,"洗潔精 (維他命E檸檬護膚) - 補充裝 1.3公斤"
P000000834,"美祿 Milo 可可球 170克"
P000000835,"可可米 Coco Pops 190克"
P000000840,"夾心曲奇 (獨立包裝 26.25克 x 9包) 236.25克"
P000000858,"金裝3合1咖啡 17克 x 10"
P000000859,"電解質補充飲料 - 沖劑 66克 x 5"
P000000865,"Professional 強勁薄荷味無糖香口珠 20粒 28克"
P000000867,"Cawarra Shiraz Cabernet 施赫卡貝納 (切拉子赤霞珠) 紅酒 750毫升"
P000000868,"純蒸餾水 430毫升"
P000000869,"長青高鈣低脂奶粉 (51+ 歲) 800克"
